,player,pass_recipient,pass_count,x_start_x,y_start_x,count_x,x_start_y,y_start_y,count_y
0,Alexis Mac Allister,Enzo Fernandez,12,68.14888888888889,26.637777777777778,45,55.1506329113924,43.23037974683544,79
12,Cristian Gabriel Romero,Enzo Fernandez,14,33.87166666666666,52.68666666666666,60,55.1506329113924,43.23037974683544,79
51,Lionel Andrés Messi Cuccittini,Enzo Fernandez,8,76.45714285714286,49.67551020408163,49,55.1506329113924,43.23037974683544,79
63,Nahuel Molina Lucero,Enzo Fernandez,4,57.297435897435896,72.05641025641025,39,55.1506329113924,43.23037974683544,79
69,Nicolás Alejandro Tagliafico,Enzo Fernandez,5,58.972727272727276,7.6431818181818185,44,55.1506329113924,43.23037974683544,79
77,Nicolás Hernán Otamendi,Enzo Fernandez,14,38.54057971014493,24.65072463768116,69,55.1506329113924,43.23037974683544,79
89,Rodrigo Javier De Paul,Enzo Fernandez,9,57.13859649122807,58.984210526315785,57,55.1506329113924,43.23037974683544,79
31,Enzo Fernandez,Julián Álvarez,5,55.1506329113924,43.23037974683544,79,77.70769230769231,34.746153846153845,26
53,Lionel Andrés Messi Cuccittini,Julián Álvarez,5,76.45714285714286,49.67551020408163,49,77.70769230769231,34.746153846153845,26
70,Nicolás Alejandro Tagliafico,Julián Álvarez,5,58.972727272727276,7.6431818181818185,44,77.70769230769231,34.746153846153845,26
90,Rodrigo Javier De Paul,Julián Álvarez,4,57.13859649122807,58.984210526315785,57,77.70769230769231,34.746153846153845,26
4,Alexis Mac Allister,Lionel Andrés Messi Cuccittini,7,68.14888888888889,26.637777777777778,45,76.45714285714286,49.67551020408163,49
34,Enzo Fernandez,Lionel Andrés Messi Cuccittini,11,55.1506329113924,43.23037974683544,79,76.45714285714286,49.67551020408163,49
43,Julián Álvarez,Lionel Andrés Messi Cuccittini,5,77.70769230769231,34.746153846153845,26,76.45714285714286,49.67551020408163,49
65,Nahuel Molina Lucero,Lionel Andrés Messi Cuccittini,10,57.297435897435896,72.05641025641025,39,76.45714285714286,49.67551020408163,49
91,Rodrigo Javier De Paul,Lionel Andrés Messi Cuccittini,14,57.13859649122807,58.984210526315785,57,76.45714285714286,49.67551020408163,49
98,Ángel Fabián Di María Hernández,Lionel Andrés Messi Cuccittini,4,79.884,11.448,25,76.45714285714286,49.67551020408163,49
37,Enzo Fernandez,Nicolás Alejandro Tagliafico,5,55.1506329113924,43.23037974683544,79,58.972727272727276,7.6431818181818185,44
82,Nicolás Hernán Otamendi,Nicolás Alejandro Tagliafico,15,38.54057971014493,24.65072463768116,69,58.972727272727276,7.6431818181818185,44
100,Ángel Fabián Di María Hernández,Nicolás Alejandro Tagliafico,5,79.884,11.448,25,58.972727272727276,7.6431818181818185,44
18,Cristian Gabriel Romero,Nicolás Hernán Otamendi,12,33.87166666666666,52.68666666666666,60,38.54057971014493,24.65072463768116,69
25,Damián Emiliano Martínez,Nicolás Hernán Otamendi,6,11.433333333333334,42.15555555555555,18,38.54057971014493,24.65072463768116,69
38,Enzo Fernandez,Nicolás Hernán Otamendi,9,55.1506329113924,43.23037974683544,79,38.54057971014493,24.65072463768116,69
72,Nicolás Alejandro Tagliafico,Nicolás Hernán Otamendi,10,58.972727272727276,7.6431818181818185,44,38.54057971014493,24.65072463768116,69
94,Rodrigo Javier De Paul,Nicolás Hernán Otamendi,8,57.13859649122807,58.984210526315785,57,38.54057971014493,24.65072463768116,69
19,Cristian Gabriel Romero,Rodrigo Javier De Paul,11,33.87166666666666,52.68666666666666,60,57.13859649122807,58.984210526315785,57
39,Enzo Fernandez,Rodrigo Javier De Paul,14,55.1506329113924,43.23037974683544,79,57.13859649122807,58.984210526315785,57
47,Julián Álvarez,Rodrigo Javier De Paul,6,77.70769230769231,34.746153846153845,26,57.13859649122807,58.984210526315785,57
58,Lionel Andrés Messi Cuccittini,Rodrigo Javier De Paul,12,76.45714285714286,49.67551020408163,49,57.13859649122807,58.984210526315785,57
67,Nahuel Molina Lucero,Rodrigo Javier De Paul,15,57.297435897435896,72.05641025641025,39,57.13859649122807,58.984210526315785,57
9,Alexis Mac Allister,Ángel Fabián Di María Hernández,8,68.14888888888889,26.637777777777778,45,79.884,11.448,25
59,Lionel Andrés Messi Cuccittini,Ángel Fabián Di María Hernández,5,76.45714285714286,49.67551020408163,49,79.884,11.448,25
73,Nicolás Alejandro Tagliafico,Ángel Fabián Di María Hernández,7,58.972727272727276,7.6431818181818185,44,79.884,11.448,25
85,Nicolás Hernán Otamendi,Ángel Fabián Di María Hernández,4,38.54057971014493,24.65072463768116,69,79.884,11.448,25
28,Enzo Fernandez,Alexis Mac Allister,9,55.1506329113924,43.23037974683544,79,68.14888888888889,26.637777777777778,45
41,Julián Álvarez,Alexis Mac Allister,5,77.70769230769231,34.746153846153845,26,68.14888888888889,26.637777777777778,45
49,Lionel Andrés Messi Cuccittini,Alexis Mac Allister,6,76.45714285714286,49.67551020408163,49,68.14888888888889,26.637777777777778,45
68,Nicolás Alejandro Tagliafico,Alexis Mac Allister,13,58.972727272727276,7.6431818181818185,44,68.14888888888889,26.637777777777778,45
11,Cristian Gabriel Romero,Damián Emiliano Martínez,4,33.87166666666666,52.68666666666666,60,11.433333333333334,42.15555555555555,18
76,Nicolás Hernán Otamendi,Damián Emiliano Martínez,6,38.54057971014493,24.65072463768116,69,11.433333333333334,42.15555555555555,18
17,Cristian Gabriel Romero,Nahuel Molina Lucero,7,33.87166666666666,52.68666666666666,60,57.297435897435896,72.05641025641025,39
36,Enzo Fernandez,Nahuel Molina Lucero,6,55.1506329113924,43.23037974683544,79,57.297435897435896,72.05641025641025,39
56,Lionel Andrés Messi Cuccittini,Nahuel Molina Lucero,5,76.45714285714286,49.67551020408163,49,57.297435897435896,72.05641025641025,39
93,Rodrigo Javier De Paul,Nahuel Molina Lucero,8,57.13859649122807,58.984210526315785,57,57.297435897435896,72.05641025641025,39
21,Damián Emiliano Martínez,Cristian Gabriel Romero,5,11.433333333333334,42.15555555555555,18,33.87166666666666,52.68666666666666,60
29,Enzo Fernandez,Cristian Gabriel Romero,7,55.1506329113924,43.23037974683544,79,33.87166666666666,52.68666666666666,60
75,Nicolás Hernán Otamendi,Cristian Gabriel Romero,18,38.54057971014493,24.65072463768116,69,33.87166666666666,52.68666666666666,60
87,Rodrigo Javier De Paul,Cristian Gabriel Romero,8,57.13859649122807,58.984210526315785,57,33.87166666666666,52.68666666666666,60
