,player,team,pass_recipient,x_start,y_start,x_end,y_end,pass_outcome
774,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,32.6,72.9,73.2,77.0,Incomplete
782,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,19.3,67.8,27.2,74.8,Complete
783,Nahuel Molina Lucero,Argentina,Cristian Gabriel Romero,27.2,74.8,19.9,67.1,Complete
784,Cristian Gabriel Romero,Argentina,,19.9,67.1,39.0,66.9,Incomplete
789,Damián Emiliano Martínez,Argentina,,7.0,44.1,75.1,7.7,Incomplete
791,Julián Álvarez,Argentina,Alexis Mac Allister,75.1,6.6,68.1,13.0,Complete
792,Alexis Mac Allister,Argentina,Marcos Javier Acuña,88.4,15.6,100.1,7.4,Complete
794,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,112.6,7.9,99.5,9.6,Complete
795,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,106.8,23.9,98.2,31.8,Complete
817,Damián Emiliano Martínez,Argentina,,36.4,62.6,92.0,63.3,Incomplete
819,Cristian Gabriel Romero,Argentina,Enzo Fernandez,17.6,76.3,19.7,68.0,Complete
820,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,19.7,68.0,33.0,75.9,Complete
821,Rodrigo Javier De Paul,Argentina,Julián Álvarez,45.0,70.5,90.9,64.8,Complete
822,Julián Álvarez,Argentina,Nahuel Molina Lucero,108.9,74.2,95.9,75.9,Complete
823,Nahuel Molina Lucero,Argentina,,92.9,77.0,86.7,55.6,Incomplete
826,Nicolás Alejandro Tagliafico,Argentina,Lionel Andrés Messi Cuccittini,48.4,0.1,71.9,6.2,Incomplete
827,Nicolás Alejandro Tagliafico,Argentina,Julián Álvarez,61.4,0.1,56.1,33.3,Complete
829,Nicolás Hernán Otamendi,Argentina,,59.9,22.0,81.3,38.2,Incomplete
833,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,27.8,64.3,43.5,61.8,Complete
834,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,49.0,66.5,73.0,73.7,Complete
835,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,79.4,76.5,64.6,73.3,Complete
836,Lionel Andrés Messi Cuccittini,Argentina,Nahuel Molina Lucero,85.6,72.7,75.8,68.0,Complete
837,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,75.8,68.2,86.7,75.7,Complete
838,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,86.7,76.1,95.9,77.8,Complete
839,Rodrigo Javier De Paul,Argentina,Alexis Mac Allister,95.2,55.4,87.3,55.4,Complete
840,Alexis Mac Allister,Argentina,Enzo Fernandez,87.3,55.4,80.3,51.3,Complete
841,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,80.0,51.3,87.3,69.7,Complete
842,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,92.9,64.8,108.5,59.2,Complete
843,Rodrigo Javier De Paul,Argentina,Marcos Javier Acuña,112.1,59.8,117.9,42.1,Incomplete
845,Enzo Fernandez,Argentina,Marcos Javier Acuña,49.2,15.4,55.0,12.6,Complete
847,Alexis Mac Allister,Argentina,Enzo Fernandez,66.6,28.2,55.9,25.4,Complete
848,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,55.9,27.5,69.1,67.3,Complete
849,Rodrigo Javier De Paul,Argentina,Nahuel Molina Lucero,69.1,67.3,48.0,66.9,Complete
850,Nahuel Molina Lucero,Argentina,Enzo Fernandez,48.0,66.9,57.6,61.1,Complete
851,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,57.6,61.1,66.1,74.0,Complete
852,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,66.1,74.0,58.4,64.8,Complete
853,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,63.4,66.7,58.4,76.1,Complete
854,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,61.4,76.1,70.0,76.3,Complete
856,Nahuel Molina Lucero,Argentina,Enzo Fernandez,69.1,80.0,69.6,66.9,Complete
857,Enzo Fernandez,Argentina,Nahuel Molina Lucero,70.8,66.0,70.0,75.2,Complete
858,Nahuel Molina Lucero,Argentina,,70.0,75.2,74.9,75.5,Incomplete
859,Nahuel Molina Lucero,Argentina,,74.9,75.5,80.7,70.3,Incomplete
862,Julián Álvarez,Argentina,Rodrigo Javier De Paul,61.0,40.1,44.3,40.2,Complete
863,Rodrigo Javier De Paul,Argentina,Nahuel Molina Lucero,44.3,40.2,50.1,66.0,Complete
864,Nahuel Molina Lucero,Argentina,Cristian Gabriel Romero,43.5,76.3,22.7,56.4,Complete
865,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,20.6,50.9,20.6,30.3,Complete
866,Nicolás Hernán Otamendi,Argentina,Damián Emiliano Martínez,19.1,28.6,6.0,37.0,Complete
867,Damián Emiliano Martínez,Argentina,Marcos Javier Acuña,6.0,37.0,51.4,4.9,Complete
875,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,20.1,52.6,39.0,56.4,Incomplete
881,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,61.0,40.1,46.5,43.4,Complete
882,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,50.3,45.5,47.3,59.2,Complete
883,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,47.3,59.2,28.7,59.0,Complete
884,Cristian Gabriel Romero,Argentina,Enzo Fernandez,28.7,59.0,43.9,49.4,Complete
885,Enzo Fernandez,Argentina,Nicolás Alejandro Tagliafico,44.7,48.1,40.7,17.7,Complete
886,Nicolás Alejandro Tagliafico,Argentina,Marcos Javier Acuña,40.3,14.5,55.4,5.1,Complete
888,Nicolás Alejandro Tagliafico,Argentina,Julián Álvarez,89.5,0.1,112.3,8.3,Complete
889,Julián Álvarez,Argentina,Nicolás Alejandro Tagliafico,110.2,7.2,98.2,5.3,Complete
890,Nicolás Alejandro Tagliafico,Argentina,Julián Álvarez,98.2,5.3,99.3,11.3,Complete
891,Julián Álvarez,Argentina,Rodrigo Javier De Paul,91.6,14.7,89.2,32.7,Complete
892,Rodrigo Javier De Paul,Argentina,Julián Álvarez,88.6,29.5,94.8,23.9,Complete
893,Julián Álvarez,Argentina,Nicolás Alejandro Tagliafico,96.7,22.4,99.1,19.0,Incomplete
894,Julián Álvarez,Argentina,Marcos Javier Acuña,107.0,17.5,114.1,11.7,Complete
896,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,70.6,48.5,80.3,57.9,Complete
897,Nahuel Molina Lucero,Argentina,,80.3,57.9,96.3,55.4,Incomplete
899,Nicolás Hernán Otamendi,Argentina,Rodrigo Javier De Paul,78.8,50.0,79.0,58.6,Complete
901,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,45.0,75.7,47.1,72.0,Complete
902,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,48.6,71.8,55.4,63.1,Complete
903,Enzo Fernandez,Argentina,Julián Álvarez,63.8,59.2,74.7,53.2,Complete
904,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,74.7,53.2,75.3,63.9,Complete
905,Lionel Andrés Messi Cuccittini,Argentina,Julián Álvarez,75.8,60.3,77.9,57.1,Incomplete
908,Damián Emiliano Martínez,Argentina,,7.0,36.1,73.8,25.8,Unknown
916,Cristian Gabriel Romero,Argentina,,26.6,63.3,56.3,60.9,Incomplete
932,Damián Emiliano Martínez,Argentina,,18.4,51.7,85.2,69.9,Unknown
937,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,21.9,69.7,32.3,66.7,Incomplete
945,Cristian Gabriel Romero,Argentina,Julián Álvarez,25.5,28.6,62.9,26.9,Complete
946,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,61.9,35.2,67.0,45.1,Incomplete
948,Cristian Gabriel Romero,Argentina,Enzo Fernandez,36.8,51.3,52.0,51.1,Complete
949,Enzo Fernandez,Argentina,Marcos Javier Acuña,57.6,49.8,96.9,22.2,Incomplete
951,Nicolás Alejandro Tagliafico,Argentina,Marcos Javier Acuña,80.9,24.3,101.2,13.0,Complete
956,Rodrigo Javier De Paul,Argentina,Marcos Javier Acuña,20.1,28.0,18.4,13.9,Complete
958,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,44.5,0.1,25.7,10.4,Complete
959,Nicolás Hernán Otamendi,Argentina,Nahuel Molina Lucero,21.9,25.0,25.9,58.8,Complete
960,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,31.7,63.3,62.5,75.7,Complete
965,Cristian Gabriel Romero,Argentina,Damián Emiliano Martínez,3.7,42.5,2.2,45.5,Complete
966,Damián Emiliano Martínez,Argentina,Enzo Fernandez,4.3,44.0,21.2,57.9,Complete
967,Enzo Fernandez,Argentina,Julián Álvarez,45.2,51.9,49.7,62.2,Complete
968,Julián Álvarez,Argentina,Nahuel Molina Lucero,51.6,59.4,53.5,69.3,Complete
969,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,54.8,70.3,65.7,77.8,Complete
970,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,89.7,80.0,96.3,64.3,Complete
971,Lionel Andrés Messi Cuccittini,Argentina,Cristian Gabriel Romero,94.6,61.1,86.0,61.3,Complete
972,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,85.8,61.6,97.8,67.1,Incomplete
976,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,24.0,71.2,43.9,76.1,Complete
977,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,43.7,76.1,39.4,60.3,Complete
978,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,44.1,59.0,52.7,66.3,Complete
979,Lionel Andrés Messi Cuccittini,Argentina,Marcos Javier Acuña,83.0,51.3,102.9,13.6,Complete
981,Nicolás Alejandro Tagliafico,Argentina,,111.5,20.9,108.3,30.3,Incomplete
988,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,30.2,41.9,37.3,50.0,Complete
989,Enzo Fernandez,Argentina,Alexis Mac Allister,37.3,50.0,47.5,37.0,Complete
990,Alexis Mac Allister,Argentina,Marcos Javier Acuña,52.0,34.8,69.3,12.8,Complete
992,Julián Álvarez,Argentina,Rodrigo Javier De Paul,95.4,8.1,89.5,31.0,Complete
993,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,89.5,31.0,92.0,54.7,Complete
994,Lionel Andrés Messi Cuccittini,Argentina,,120.0,0.1,113.4,35.9,Incomplete
1001,Alexis Mac Allister,Argentina,Enzo Fernandez,6.7,19.6,20.6,31.2,Complete
1002,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,21.0,28.8,34.5,30.3,Complete
1003,Lionel Andrés Messi Cuccittini,Argentina,Julián Álvarez,30.4,27.5,79.4,11.3,Complete
1004,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,110.6,23.3,99.5,33.5,Complete
1005,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,101.4,35.2,102.9,47.9,Complete
1006,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,102.9,47.7,105.1,36.5,Incomplete
1014,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,42.2,5.3,40.7,13.6,Complete
1015,Alexis Mac Allister,Argentina,Nicolás Hernán Otamendi,42.4,13.6,30.4,14.1,Complete
1016,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,30.2,14.1,33.9,23.5,Complete
1017,Enzo Fernandez,Argentina,Alexis Mac Allister,36.0,25.6,44.6,19.2,Complete
1018,Alexis Mac Allister,Argentina,Julián Álvarez,64.0,16.2,76.6,23.2,Incomplete
1019,Cristian Gabriel Romero,Argentina,,36.2,45.1,62.7,33.7,Incomplete
1021,Cristian Gabriel Romero,Argentina,Enzo Fernandez,38.8,39.9,45.6,37.4,Complete
1022,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,45.2,36.3,50.1,46.6,Unknown
1023,Cristian Gabriel Romero,Argentina,Marcos Javier Acuña,53.3,44.2,85.2,2.5,Complete
1025,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,52.7,16.6,44.3,47.0,Complete
1026,Cristian Gabriel Romero,Argentina,Gonzalo Ariel Montiel,42.6,50.2,74.7,74.6,Complete
1028,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,79.8,72.0,72.8,58.3,Complete
1029,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,71.5,53.4,68.5,66.0,Complete
1031,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,78.3,73.9,90.3,74.8,Complete
1032,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,86.9,72.9,78.8,59.8,Complete
1033,Enzo Fernandez,Argentina,Marcos Javier Acuña,83.9,54.5,94.6,4.6,Complete
1036,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,34.7,4.4,43.9,17.9,Complete
1037,Alexis Mac Allister,Argentina,Marcos Javier Acuña,40.5,14.7,48.4,9.6,Complete
1039,Alexis Mac Allister,Argentina,Rodrigo Javier De Paul,59.3,19.0,55.9,41.0,Complete
1040,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,74.3,37.4,84.3,54.7,Complete
1051,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,25.5,44.6,37.9,48.5,Complete
1052,Cristian Gabriel Romero,Argentina,,38.3,51.7,67.0,54.7,Incomplete
1058,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,25.3,32.4,37.5,50.0,Complete
1059,Enzo Fernandez,Argentina,Julián Álvarez,36.6,54.1,52.3,36.5,Complete
1060,Julián Álvarez,Argentina,Marcos Javier Acuña,51.6,34.8,47.1,15.3,Complete
1062,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,35.1,20.0,45.0,16.0,Complete
1064,Damián Emiliano Martínez,Argentina,,11.6,32.4,74.3,7.4,Unknown
1079,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,30.2,62.6,41.6,32.2,Complete
1080,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,44.6,44.9,48.6,57.0,Complete
1081,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,47.1,54.9,42.0,27.7,Complete
1082,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,40.7,25.2,49.5,10.0,Complete
1083,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,47.5,8.7,39.0,18.1,Complete
1084,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,38.8,20.7,41.8,29.2,Complete
1085,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,39.8,35.7,53.7,42.3,Complete
1086,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,54.8,42.1,73.0,47.0,Complete
1087,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,73.6,46.8,78.8,30.1,Complete
1088,Alexis Mac Allister,Argentina,Marcos Javier Acuña,80.5,29.2,100.4,4.9,Complete
1090,Rodrigo Javier De Paul,Argentina,,100.0,57.5,119.8,19.8,Out
1092,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,34.7,29.5,46.0,13.2,Complete
1094,Damián Emiliano Martínez,Argentina,Nicolás Hernán Otamendi,10.8,30.7,19.7,23.2,Complete
1095,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,20.8,23.2,20.6,52.1,Complete
1096,Cristian Gabriel Romero,Argentina,Enzo Fernandez,20.6,52.3,34.3,52.1,Complete
1097,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,35.8,62.2,43.7,75.2,Complete
1099,Enzo Fernandez,Argentina,Alexis Mac Allister,21.0,48.9,25.3,46.6,Complete
1100,Alexis Mac Allister,Argentina,Rodrigo Javier De Paul,25.3,47.6,34.1,73.1,Complete
1101,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,39.4,75.2,65.5,75.7,Incomplete
1104,Julián Álvarez,Argentina,Rodrigo Javier De Paul,18.9,54.3,5.0,69.5,Complete
1105,Rodrigo Javier De Paul,Argentina,Julián Álvarez,5.0,69.5,21.5,74.4,Complete
1111,Damián Emiliano Martínez,Argentina,Cristian Gabriel Romero,13.1,40.8,22.9,54.3,Complete
1112,Cristian Gabriel Romero,Argentina,Gonzalo Ariel Montiel,24.4,60.5,55.2,73.9,Complete
1115,Enzo Fernandez,Argentina,Cristian Gabriel Romero,51.6,68.0,45.2,60.9,Complete
1116,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,44.6,58.3,38.8,28.8,Complete
1117,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,38.6,28.2,36.0,50.4,Complete
1118,Cristian Gabriel Romero,Argentina,Enzo Fernandez,36.2,55.3,41.6,71.4,Complete
1119,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,40.1,71.6,54.2,74.2,Complete
1122,Damián Emiliano Martínez,Argentina,Nicolás Hernán Otamendi,12.9,34.6,23.6,25.2,Complete
1123,Nicolás Hernán Otamendi,Argentina,Leandro Daniel Paredes,24.7,26.7,22.3,44.2,Complete
1125,Cristian Gabriel Romero,Argentina,Marcos Javier Acuña,50.8,66.5,92.9,23.2,Incomplete
1127,Alexis Mac Allister,Argentina,Leandro Daniel Paredes,75.8,9.6,55.0,19.2,Complete
1129,Enzo Fernandez,Argentina,Alexis Mac Allister,65.3,37.4,66.8,30.5,Complete
1130,Alexis Mac Allister,Argentina,Enzo Fernandez,70.4,31.2,71.7,38.9,Complete
1131,Enzo Fernandez,Argentina,Leandro Daniel Paredes,67.7,43.4,58.9,32.9,Complete
1135,Alexis Mac Allister,Argentina,Lautaro Javier Martínez,51.8,48.5,68.1,49.1,Complete
1137,Enzo Fernandez,Argentina,Alexis Mac Allister,77.9,54.7,80.1,40.6,Complete
1138,Alexis Mac Allister,Argentina,Marcos Javier Acuña,80.5,40.4,86.5,25.4,Complete
1140,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,75.1,23.9,81.6,30.5,Complete
1141,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,80.9,34.6,83.7,44.0,Complete
1142,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,86.0,34.4,97.0,45.3,Complete
1143,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,97.0,45.3,101.0,38.2,Complete
1144,Lionel Andrés Messi Cuccittini,Argentina,Lautaro Javier Martínez,103.4,37.6,107.9,47.8,Complete
1145,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,120.0,0.1,102.5,70.1,Complete
1159,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,55.7,18.1,77.7,4.9,Complete
1160,Nicolás Alejandro Tagliafico,Argentina,Marcos Javier Acuña,81.8,3.6,89.2,7.0,Complete
1162,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,102.1,4.7,93.3,18.6,Complete
1163,Alexis Mac Allister,Argentina,Leandro Daniel Paredes,93.5,18.6,83.0,26.5,Complete
1165,Lionel Andrés Messi Cuccittini,Argentina,Gonzalo Ariel Montiel,92.9,60.1,111.5,66.3,Complete
1168,Cristian Gabriel Romero,Argentina,Gonzalo Ariel Montiel,36.6,54.9,42.8,72.5,Complete
1171,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,42.6,15.1,34.3,18.1,Complete
1172,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,33.2,23.9,32.8,56.9,Complete
1173,Cristian Gabriel Romero,Argentina,Enzo Fernandez,32.3,61.8,45.6,76.1,Complete
1174,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,50.1,73.5,110.0,60.3,Incomplete
1183,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,91.2,58.8,95.4,49.4,Complete
1184,Enzo Fernandez,Argentina,Lautaro Javier Martínez,95.4,49.4,109.3,56.9,Complete
1189,Damián Emiliano Martínez,Argentina,,7.0,44.1,74.7,71.8,Incomplete
1194,Cristian Gabriel Romero,Argentina,,13.3,64.8,85.8,38.9,Incomplete
1200,Nicolás Hernán Otamendi,Argentina,Alexis Mac Allister,34.5,43.2,43.9,43.2,Complete
1201,Alexis Mac Allister,Argentina,Enzo Fernandez,53.7,47.2,50.9,58.8,Complete
1202,Enzo Fernandez,Argentina,Marcos Javier Acuña,49.7,57.9,73.2,6.4,Complete
1217,Enzo Fernandez,Argentina,Leandro Daniel Paredes,61.0,40.1,50.7,44.9,Complete
1219,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,63.1,62.8,94.2,71.4,Complete
1223,Enzo Fernandez,Argentina,,82.6,59.0,82.0,74.0,Incomplete
1226,Enzo Fernandez,Argentina,Marcos Javier Acuña,79.2,43.6,94.6,21.1,Complete
1228,Lionel Andrés Messi Cuccittini,Argentina,,120.0,0.1,112.3,40.0,Incomplete
1229,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,83.2,80.0,96.3,76.3,Complete
1234,Damián Emiliano Martínez,Argentina,Paulo Bruno Exequiel Dybala,7.0,44.1,79.8,6.4,Complete
1237,Nicolás Hernán Otamendi,Argentina,Germán Alejandro Pezzella,71.7,16.0,53.3,30.5,Complete
1239,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,64.2,16.4,78.1,5.3,Complete
1241,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,56.1,3.6,66.8,7.4,Incomplete
1243,Nicolás Hernán Otamendi,Argentina,Leandro Daniel Paredes,55.7,6.4,54.6,15.6,Complete
1249,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,64.2,27.8,74.1,34.6,Complete
1250,Lionel Andrés Messi Cuccittini,Argentina,Lautaro Javier Martínez,74.1,34.6,92.2,29.9,Pass Offside
1252,Nicolás Hernán Otamendi,Argentina,,35.1,26.9,58.4,36.7,Incomplete
1254,Nicolás Hernán Otamendi,Argentina,Paulo Bruno Exequiel Dybala,22.5,34.2,48.8,47.2,Complete
1256,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,42.8,54.1,58.0,62.4,Complete
1257,Lionel Andrés Messi Cuccittini,Argentina,Gonzalo Ariel Montiel,66.8,62.6,104.9,62.6,Complete
