,match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
0,15978,2018-09-15,16:15:00.000,Spain - La Liga,2018/2019,Real Sociedad,Barcelona,1,2,available,scheduled,2022-12-05T14:46:11.299820,2021-06-13T16:17:31.694,4,Regular Season,Reale Arena,Carlos del Cerro Grande,Asier Garitano Aguirrezábal,Ernesto Valverde Tejedor,1.1.0,2,2
1,15998,2018-09-26,20:00:00.000,Spain - La Liga,2018/2019,Leganés,Barcelona,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Estadio Municipal de Butarque,Alberto Undiano Mallenco,Mauricio Pellegrino,Ernesto Valverde Tejedor,1.1.0,2,
2,16029,2018-10-20,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Sevilla,4,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,9,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Pablo Javier Machín Díez,1.1.0,2,
3,16073,2018-11-24,20:45:00.000,Spain - La Liga,2018/2019,Atlético Madrid,Barcelona,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,13,Regular Season,	Estádio Cívitas Metropolitano,Jesús Gil Manzano,Diego Pablo Simeone,Ernesto Valverde Tejedor,1.1.0,2,
4,16086,2018-12-08,20:45:00.000,Spain - La Liga,2018/2019,Espanyol,Barcelona,0,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,15,Regular Season,RCDE Stadium,,Joan Francesc Ferrer Sicilia,Ernesto Valverde Tejedor,1.1.0,2,
5,16190,2019-02-23,16:15:00.000,Spain - La Liga,2018/2019,Sevilla,Barcelona,2,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio Ramón Sánchez Pizjuán,Antonio Miguel Mateu Lahoz,Pablo Javier Machín Díez,Ernesto Valverde Tejedor,1.1.0,2,
6,16109,2018-12-22,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Celta Vigo,2,0,available,scheduled,2022-12-13T02:37:05.311336,2021-06-13T16:17:31.694,17,Regular Season,Spotify Camp Nou,Eduardo Prieto Iglesias,Ernesto Valverde Tejedor,José Miguel Azevedo Cardoso,1.1.0,2,2
7,16120,2019-01-06,20:45:00.000,Spain - La Liga,2018/2019,Getafe,Barcelona,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,18,Regular Season,Coliseum Alfonso Pérez,,José Bordalás Jiménez,Ernesto Valverde Tejedor,1.1.0,2,
8,16182,2019-02-16,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Real Valladolid,1,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Sergio González Soriano,1.1.0,2,
9,16215,2019-03-17,20:45:00.000,Spain - La Liga,2018/2019,Real Betis,Barcelona,1,4,available,scheduled,2023-05-11T08:22:01.941875,2021-06-13T16:17:31.694,28,Regular Season,Estadio Benito Villamarín,,Enrique Setién Solar,Ernesto Valverde Tejedor,1.1.0,2,
10,16173,2019-02-10,20:45:00.000,Spain - La Liga,2018/2019,Athletic Club,Barcelona,0,0,available,scheduled,2022-12-23T21:14:41.328965,2021-06-13T16:17:31.694,23,Regular Season,San Mamés Barria,Carlos del Cerro Grande,Gaizka Garitano Aguirre,Ernesto Valverde Tejedor,1.1.0,2,2
11,16265,2019-04-20,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Real Sociedad,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,33,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Imanol Alguacil Barrenetxea,1.1.0,2,
12,15946,2018-08-18,22:15:00.000,Spain - La Liga,2018/2019,Barcelona,Deportivo Alavés,3,0,available,scheduled,2022-12-05T14:32:32.223676,2021-06-13T16:17:31.694,1,Regular Season,Spotify Camp Nou,José María Sánchez Martínez,Ernesto Valverde Tejedor,Abelardo Fernández Antuña,1.1.0,2,2
13,16157,2019-02-02,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Valencia,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Ernesto Valverde Tejedor,Marcelino García Toral,1.1.0,2,
14,16136,2019-01-20,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Leganés,3,1,available,scheduled,2022-12-13T02:40:13.071475,2021-06-13T16:17:31.694,20,Regular Season,Spotify Camp Nou,Ricardo De Burgos Bengoetxea,Ernesto Valverde Tejedor,Mauricio Pellegrino,1.1.0,2,2
15,16248,2019-04-06,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Atlético Madrid,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,31,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Ernesto Valverde Tejedor,Diego Pablo Simeone,1.1.0,2,
16,16056,2018-11-11,16:15:00.000,Spain - La Liga,2018/2019,Barcelona,Real Betis,3,4,available,scheduled,2022-12-05T15:56:52.134800,2021-06-13T16:17:31.694,12,Regular Season,Spotify Camp Nou,Antonio Miguel Mateu Lahoz,Ernesto Valverde Tejedor,Enrique Setién Solar,1.1.0,2,2
17,16289,2019-04-27,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Levante UD,1,0,available,scheduled,2021-04-12T07:10:50.239941,2021-06-13T16:17:31.694,35,Regular Season,Spotify Camp Nou,Ricardo De Burgos Bengoetxea,Ernesto Valverde Tejedor,Francisco José López Fernández,1.1.0,2,
18,16079,2018-12-02,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Villarreal,2,0,available,scheduled,2022-12-14T01:23:34.890423,2021-06-13T16:17:31.694,14,Regular Season,Spotify Camp Nou,José Luis Munuera Montero,Ernesto Valverde Tejedor,Javier Calleja Revilla,1.1.0,2,2
19,16149,2019-01-27,16:15:00.000,Spain - La Liga,2018/2019,Girona,Barcelona,0,2,available,scheduled,2023-02-28T15:06:32.588321,2021-06-13T16:17:31.694,21,Regular Season,Estadi Municipal de Montilivi,Pablo González Fuertes,Eusebio Sacristán Mena,Ernesto Valverde Tejedor,1.1.0,2,2
20,16275,2019-04-23,21:30:00.000,Spain - La Liga,2018/2019,Deportivo Alavés,Barcelona,0,2,available,scheduled,2023-07-24T17:52:58.349594,2021-06-13T16:17:31.694,34,Regular Season,Estadio de Mendizorroza,,Abelardo Fernández Antuña,Ernesto Valverde Tejedor,1.1.0,2,
21,15973,2018-09-02,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Huesca,8,2,available,scheduled,2023-02-22T05:46:57.699229,2021-06-13T16:17:31.694,3,Regular Season,Spotify Camp Nou,Mario Melero López,Ernesto Valverde Tejedor,Leonardo Neoren Franco,1.1.0,2,2
22,16317,2019-05-19,16:15:00.000,Spain - La Liga,2018/2019,Eibar,Barcelona,2,2,available,scheduled,2023-07-24T17:52:24.271833,2021-06-13T16:17:31.694,38,Regular Season,Estadio Municipal de Ipurúa,,José Luis Mendilibar Etxebarria,Ernesto Valverde Tejedor,1.1.0,2,
23,16131,2019-01-13,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Eibar,3,0,available,scheduled,2022-12-13T02:39:09.619019,2021-06-13T16:17:31.694,19,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Ernesto Valverde Tejedor,José Luis Mendilibar Etxebarria,1.1.0,2,2
24,16205,2019-03-09,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Rayo Vallecano,3,1,available,scheduled,2021-04-11T22:02:53.541997,2021-06-13T16:17:31.694,27,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Miguel Ángel Sánchez Muñoz,1.1.0,2,
25,16095,2018-12-16,20:45:00.000,Spain - La Liga,2018/2019,Levante UD,Barcelona,0,5,available,scheduled,2022-12-11T08:51:13.107818,2021-06-13T16:17:31.694,16,Regular Season,Estadio Ciudad de Valencia,José Luis González González,Francisco José López Fernández,Ernesto Valverde Tejedor,1.1.0,2,2
26,16306,2019-05-12,18:30:00.000,Spain - La Liga,2018/2019,Barcelona,Getafe,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,37,Regular Season,Spotify Camp Nou,José Luis González González,Ernesto Valverde Tejedor,"José Ignacio Fernández García, José Bordalás Jiménez",1.1.0,2,
27,16010,2018-09-29,16:15:00.000,Spain - La Liga,2018/2019,Barcelona,Athletic Club,1,1,available,scheduled,2022-12-01T12:03:49.759103,2021-06-13T16:17:31.694,7,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Manuel Eduardo Berizzo,1.1.0,2,2
28,15986,2018-09-23,20:45:00.000,Spain - La Liga,2018/2019,Barcelona,Girona,2,2,available,scheduled,2023-03-31T15:44:45.788046,2021-06-13T16:17:31.694,5,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Ernesto Valverde Tejedor,Eusebio Sacristán Mena,1.1.0,2,2
29,16240,2019-04-02,21:30:00.000,Spain - La Liga,2018/2019,Villarreal,Barcelona,4,4,available,scheduled,2023-07-24T17:45:37.697121,2021-06-13T16:17:31.694,30,Regular Season,Estadio de la Cerámica,,Javier Calleja Revilla,Ernesto Valverde Tejedor,1.1.0,2,
30,16023,2018-10-07,20:45:00.000,Spain - La Liga,2018/2019,Valencia,Barcelona,1,1,available,scheduled,2022-12-20T18:02:32.291195,2021-06-13T16:17:31.694,8,Regular Season,Estadio de Mestalla,José Luis González González,Marcelino García Toral,Ernesto Valverde Tejedor,1.1.0,2,2
31,16196,2019-03-02,20:45:00.000,Spain - La Liga,2018/2019,Real Madrid,Barcelona,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,26,Regular Season,Estadio Santiago Bernabéu,Alberto Undiano Mallenco,Santiago Hernán Solari Poggio,Ernesto Valverde Tejedor,1.1.0,2,
32,15956,2018-08-25,22:15:00.000,Spain - La Liga,2018/2019,Real Valladolid,Barcelona,0,1,available,scheduled,2022-12-09T22:04:24.608353,2021-06-13T16:17:31.694,2,Regular Season,Estadio Municipal José Zorrilla,Ricardo De Burgos Bengoetxea,Sergio González Soriano,Ernesto Valverde Tejedor,1.1.0,2,2
33,16231,2019-03-30,16:15:00.000,Spain - La Liga,2018/2019,Barcelona,Espanyol,2,0,available,scheduled,2023-07-24T17:49:29.379819,2021-06-13T16:17:31.694,29,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Joan Francesc Ferrer Sicilia,1.1.0,2,
